Nome da instancia,Tempo grafo,Tempo grafo residual,Tempo WCP,Tempo empurra fluxo,vertices,arcos,fluxo,tempo(ns),caminhos
BVZ-tsukuba4.max,104704338,16043200,215486830463,3684300691,110594,496135,48947,219804196408,9827
BVZ-tsukuba15.max,106649447,16733665,164315451964,2139784882,110594,518994,33349,166852987093,5517
BVZ-tsukuba11.max,104719654,16615666,181113728376,3104821521,110594,510446,42705,184691366757,7033
BVZ-tsukuba6.max,105006263,17388174,297767001727,17892777938,110594,512938,187576,316849553520,22049
BVZ-tsukuba1.max,109075351,18110294,603479842606,20494116673,110594,526213,264801,625767614293,28723
BVZ-tsukuba7.max,105722049,16611329,190613559084,2894115375,110594,502599,41095,193993955562,7392
BVZ-tsukuba12.max,103712600,16714623,196070914861,2767653430,110594,510816,38887,199343039331,7274
BVZ-tsukuba5.max,104387073,16498783,166832239823,6637551924,110594,501390,74372,174173417632,12706
BVZ-tsukuba14.max,105259587,16871262,206631704627,3192420718,110594,515315,50599,210371639146,7911
BVZ-tsukuba2.max,105644026,16564671,206844581336,2951280007,110594,508272,41538,210352613882,7862
BVZ-tsukuba0.max,104780914,16759697,183775699615,2464945903,110594,514483,34669,186743514908,6702
BVZ-tsukuba3.max,104952167,16650045,177445134278,2486571574,110594,506721,35379,180386759834,6677
BVZ-tsukuba8.max,106333704,16457851,215766345774,4337659497,110594,503938,54458,220720385188,9336
BVZ-tsukuba10.max,111146639,17771189,630275230191,26143072668,110594,516529,236298,658203608717,29595
BVZ-tsukuba13.max,116517411,16446960,422132,0,110594,551616,0,30607975,0
BVZ-tsukuba9.max,104981905,18279688,290994444281,28418648704,110594,519074,298716,320894828376,31684
