Nome da instancia,Tempo grafo,Tempo grafo residual,Tempo push,Tempo relabel,Tempo heap,vertices,arcos,fluxo,tempo(ns)
BVZ-tsukuba4.max,103184873,16269362,1332620027828,148818064772,898239975422,110594,496135,48947,2073055480803
BVZ-tsukuba15.max,114032645,16950618,819369243767,98947312181,555467343355,110594,518994,33349,1305649426195
BVZ-tsukuba11.max,110279324,16742775,882387003835,104539281275,602339406931,110594,510446,42705,1395404250146
BVZ-tsukuba6.max,111826714,17462678,233893605672,26316350604,146532185579,110594,512938,187576,363918159065
BVZ-tsukuba1.max,111997296,18158768,422457975004,47844302683,277062476692,110594,526213,264801,656463930197
BVZ-tsukuba7.max,108736516,16362050,1208879096849,137463613328,834451673501,110594,502599,41095,1882929449993
BVZ-tsukuba12.max,111405312,16637209,961701054990,114681442140,652747402689,110594,510816,38887,1525412285880
BVZ-tsukuba5.max,109376170,16374832,355574862606,41857080363,236912910379,110594,501390,74372,561540800515
BVZ-tsukuba14.max,111586102,16492763,803383943691,94443968661,547865468014,110594,515315,50599,1265641236463
BVZ-tsukuba2.max,109559114,16226859,1004507242391,117568271255,684895805850,110594,508272,41538,1579697062998
BVZ-tsukuba0.max,110928533,16406521,856386891860,99179924047,582755689737,110594,514483,34669,1343873628897
BVZ-tsukuba3.max,104813123,16379533,1082323482266,123603549532,740218274134,110594,506721,35379,1690098039787
BVZ-tsukuba8.max,107070538,16140184,943456121810,109093263048,644731551364,110594,503938,54458,1478807707472
BVZ-tsukuba10.max,105919501,17166725,903196600847,106872032094,587062741117,110594,516529,236298,1427297823353
BVZ-tsukuba13.max,115117379,16638990,0,0,0,110594,551616,0,30768652
BVZ-tsukuba9.max,106314870,18482066,124505552031,12747841342,68587053639,110594,519074,298716,186711901794
