Nome da instancia,Tempo grafo,Tempo grafo residual,Tempo calcula capacidade,Tempo BFS,Tempo empurra fluxo,vertices,arcos,fluxo,tempo(ns),caminhos
BVZ-tsukuba4.max,108084066,16038614,40349902173,1396485837,5793981885,110594,496135,48947,47621299482,13237
BVZ-tsukuba15.max,125324466,16822160,21587173439,1799341979,3674264757,110594,518994,33349,27126311098,7691
BVZ-tsukuba11.max,107682329,16639745,31289683646,2538507990,5578437965,110594,510446,42705,39482762032,10936
BVZ-tsukuba6.max,108608021,17487787,68130721636,2846968472,28359712413,110594,512938,187576,99500993009,33516
BVZ-tsukuba1.max,111363911,18117100,130094951918,4989196090,35835133036,110594,526213,264801,171181666938,46001
BVZ-tsukuba7.max,107491226,16489891,32781923744,1846673637,4767784008,110594,502599,41095,39483180951,10771
BVZ-tsukuba12.max,107752734,16681352,26171277672,1669282277,4225227350,110594,510816,38887,32135321268,9782
BVZ-tsukuba5.max,106497559,16287525,43639661598,1745924961,10244101038,110594,501390,74372,55723806461,19215
BVZ-tsukuba14.max,108485947,16505384,29933069183,2047941869,5228388367,110594,515315,50599,37282166190,11484
BVZ-tsukuba2.max,107772190,16294004,28841401576,1457321219,4470355984,110594,508272,41538,34839061768,10642
BVZ-tsukuba0.max,108825304,16346296,24614064097,1483244758,3985344165,110594,514483,34669,30143913532,9354
BVZ-tsukuba3.max,106637679,16232308,25143784869,1457765206,3852557618,110594,506721,35379,30529012565,9122
BVZ-tsukuba8.max,107420311,16841230,34983617157,1900407138,6660804838,110594,503938,54458,43624453557,13411
BVZ-tsukuba10.max,122179199,17154954,135597160099,6341215086,40490513691,110594,516529,236298,182677850136,44149
BVZ-tsukuba13.max,139764190,16067634,76191,0,0,110594,551616,0,29949227,0
BVZ-tsukuba9.max,106571823,18020916,97333908367,4128881531,41516232305,110594,519074,298716,143221352606,46627
